id,brand_name,presentation,dosage_raw,dci,labo_name,therapeutic_class,status,atc_code,price_ppv,price_hospital,toxicity_class,product_type,indications,is_psychoactive,contraindications,min_age,source_url
1635,"ENERGIE TIGRA+ MEN, Comprimé",Boite de 28,,,NON RENSEIGNÉ,,Commercialisé,,,,,Complément alimentaire,Complément amimentaire,false,,,
1636,"ENGERIX-B ADULTE, Suspension injectable [V]",Boîte de 1 seringue préremplie,20 µg,Vaccin contre l'hépatite B,GLAXO SMITHKLINE,Immunologie > Vaccins > Hépatite B,Commercialisé,J07BC01,168.2,105.1,,Médicament,"ENGERIX B 20 microgrammes/1 mL est un vaccin utilisé pour prévenir l'infection par le virus de l'hépatite B. Il peut également aider à prévenir l’infection par le virus de l’hépatite D.

Ce vaccin peut être administré aussi bien aux adultes qu’aux adolescents âgés de 16 ans et plus. Dans certaines conditions exceptionnelles, il peut également être administré aux enfants et adolescents âgés de 11 à 15 ans (voir rubrique 3).

L'hépatite B est une maladie infectieuse du foie causée par un virus. Certaines personnes portent le virus de l'hépatite B dans leur organisme, mais ne peuvent pas s’en débarrasser. Elles peuvent toujours infecter d’autres personnes et sont considérées comme porteuses du virus. La maladie est propagée par le virus qui pénètre dans l'organisme après un contact avec des fluides corporels, le plus souvent par le sang d'une personne infectée.

Si la mère est porteuse du virus ; elle peut le transmettre à son bébé à la naissance. Il est également possible d'attraper le virus d’un porteur, par exemple, par le biais de rapports sexuels non protégés, de partage d’aiguilles d'injection ou lors d’un traitement par un équipement médical n’ayant pas été correctement stérilisé.

Les principaux signes de la maladie incluent maux de tête, fièvre, nausées et jaunisse (jaunissement de la peau et des yeux) mais, chez environ 3 patients sur 10 il n'y a aucun signe de maladie.

Chez les personnes infectées par l'hépatite B, 1 adulte sur 10 et jusqu’à 9 bébés sur 10 deviendront porteurs du virus et seront susceptibles de continuer à développer des lésions hépatiques graves et, dans certains cas un cancer du foie.


Comment ENGERIX B 20 microgrammes/1 mL fonctionne :

ENGERIX B 20 microgrammes/1 mL contient une petite quantité de « l’enveloppe externe » du virus de l'hépatite B. Cette « enveloppe externe » n'est pas contagieuse et ne peut pas vous rendre malade.

· Lorsque l’on vous administrera le vaccin, il va déclencher le système immunitaire de votre corps pour le préparer à se protéger contre ces virus dans le futur.

· ENGERIX B 20 microgrammes/1 mL ne vous protègera pas si vous êtes déjà infecté par le virus de l'hépatite B.

· ENGERIX B 20 microgrammes/1 mL peut seulement vous aider à vous protéger contre l'infection par le virus de l'hépatite B.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",false,,,
1637,"ENGERIX-B PÉDIATRIQUE, Suspension injectable [V]",Boîte de 1 seringue préremplie,10 µG,Vaccin contre l'hépatite B,GLAXO SMITHKLINE,Immunologie > Vaccins > Hépatite B,Commercialisé,J07A3,74.8,46.7,,Médicament,"ENGERIX B 10 microgrammes/0,5 mL est un vaccin utilisé pour prévenir l'infection par le virus de l'hépatite B. Il peut également aider à prévenir l’infection par le virus de l’hépatite D.

Ce vaccin peut être administré aux nouveau-nés, aux enfants et aux adolescents jusqu’à l’âge de 15 ans inclus.

L'hépatite B est une maladie infectieuse du foie causée par un virus. Certaines personnes portent le virus de l'hépatite B dans leur organisme, mais ne peuvent pas s’en débarrasser. Elles peuvent toujours infecter d’autres personnes et sont considérées comme porteuses du virus. La maladie est propagée par le virus qui pénètre dans l'organisme après un contact avec des fluides corporels, le plus souvent par le sang d'une personne infectée.

Si la mère est porteuse du virus ; elle peut le transmettre à son bébé à la naissance. Il est également possible d'attraper le virus d’un porteur, par exemple, par le biais de rapports sexuels non protégés, de partage d’aiguilles d'injection ou lors d’un traitement par un équipement médical n’ayant pas été correctement stérilisé.

Les principaux signes de la maladie incluent maux de tête, fièvre, nausées et jaunisse (jaunissement de la peau et des yeux) mais, chez environ 3 patients sur 10 il n'y a aucun signe de maladie.

Chez les personnes infectées par l'hépatite B, 1 adulte sur 10 et jusqu’à 9 bébés sur 10 deviendront porteurs du virus et seront susceptibles de continuer à développer des lésions hépatiques graves et, dans certains cas un cancer du foie.

Comment ENGERIX B 10 microgrammes/0,5 mL fonctionne :

ENGERIX B 10 microgrammes/0,5 mL contient une petite quantité de « l’enveloppe externe » du virus de l'hépatite B. Cette « enveloppe externe » n'est pas contagieuse et ne peut pas vous rendre malade.

· Lorsque l’on vous administrera le vaccin, il va déclencher le système immunitaire de votre corps pour le préparer à se protéger contre ces virus dans le futur.

· ENGERIX B 10 microgrammes/0,5 mL ne vous protègera pas si vous êtes déjà infecté par le virus de l'hépatite B.

· ENGERIX B 10 microgrammes/0,5 mL peut seulement vous aider à vous protéger contre l'infection par le virus de l'hépatite B.
Source : base-donnees-publique.medicaments.gouv.fr - 22 octobre 2025",false,,,
1638,"ENOXA 2000 UI ANTI-Xa / 0.2 ML, Solution injectable en seringue pré-remplie","Boite de 2 seringues de 1 ml
(Ne doit pas être administré par voie intramusculaire.)",2000 UI ANTI-Xa / 0.2 ML,Enoxaparine sodique,HEMOLAB-PHARMA,Anticoagulant : héparine de bas poids moléculaire,Commercialisé,B01AB05,65.3,40.8,A,Médicament,"L’enoxaparine est indiquée chez l’adulte dans :
- Le traitement prophylactique de la maladie thromboembolique veineuse en chirurgie à risque modéré et élevé, en particulier en chirurgie orthopédique ou générale, dont la chirurgie oncologique.
- Le traitement prophylactique de la maladie thromboembolique veineuse chez les patients atteints d’une affection médicale aiguë (telle qu‘insuffisance cardiaque aiguë, insuffisance respiratoire, infections sévères ou maladies rhumatismales) et dont la mobilité est réduite, à risque thromboembolique veineux augmenté.
- Le traitement de la thrombose veineuse profonde (TVP) et de l’embolie pulmonaire (EP), à l’exclusion de l’EP susceptible de relever d’un traitement thrombolytique ou chirurgical.
- La prévention de la formation d’un thrombus dans le circuit de circulation extracorporelle au cours de l’hémodialyse.
- Le syndrome coronaire aigu :
* Traitement de l’angor instable et de l’infarctus du myocarde sans élévation du segment ST (NSTEMI), administré en association avec l’acide acétylsalicylique par voie orale.
* traitement de l’infarctus du myocarde aigu avec élévation du segment ST (STEMI), incluant les patients éligibles à un traitement médical ou à une intervention coronaire percutanée (ICP) secondaire.",false,,,
1639,"ENOXA 4000 UI ANTI-Xa / 0.4 ML, Solution injectable en seringue pré-remplie","Boite de 2 seringues de 1 ml
(Ne doit pas être administré par voie intramusculaire.)",4000 UI ANTI-Xa / 0.4 ML,Enoxaparine sodique,HEMOLAB-PHARMA,Anticoagulant : héparine de bas poids moléculaire,Commercialisé,B01AB05,110.2,68.9,A,Médicament,"L’enoxaparine est indiquée chez l’adulte dans :
- Le traitement prophylactique de la maladie thromboembolique veineuse en chirurgie à risque modéré et élevé, en particulier en chirurgie orthopédique ou générale, dont la chirurgie oncologique.
- Le traitement prophylactique de la maladie thromboembolique veineuse chez les patients atteints d’une affection médicale aiguë (telle qu‘insuffisance cardiaque aiguë, insuffisance respiratoire, infections sévères ou maladies rhumatismales) et dont la mobilité est réduite, à risque thromboembolique veineux augmenté.
- Le traitement de la thrombose veineuse profonde (TVP) et de l’embolie pulmonaire (EP), à l’exclusion de l’EP susceptible de relever d’un traitement thrombolytique ou chirurgical.
- La prévention de la formation d’un thrombus dans le circuit de circulation extracorporelle au cours de l’hémodialyse.
- Le syndrome coronaire aigu :
* Traitement de l’angor instable et de l’infarctus du myocarde sans élévation du segment ST (NSTEMI), administré en association avec l’acide acétylsalicylique par voie orale.
* traitement de l’infarctus du myocarde aigu avec élévation du segment ST (STEMI), incluant les patients éligibles à un traitement médical ou à une intervention coronaire percutanée (ICP) secondaire.",false,,,
1640,"ENOXA 6000 UI ANTI-Xa / 0.6 ML, Solution injectable en seringue pré-remplie","Boite de 2 seringues de 1 ml
(Ne doit pas être administré par voie intramusculaire.)",6000 UI ANTI-Xa / 0.6 ML,Enoxaparine sodique,HEMOLAB-PHARMA,Anticoagulant : héparine de bas poids moléculaire,Commercialisé,B01AB05,134.6,84.1,A,Médicament,"L’enoxaparine est indiquée chez l’adulte dans :
- Le traitement prophylactique de la maladie thromboembolique veineuse en chirurgie à risque modéré et élevé, en particulier en chirurgie orthopédique ou générale, dont la chirurgie oncologique.
- Le traitement prophylactique de la maladie thromboembolique veineuse chez les patients atteints d’une affection médicale aiguë (telle qu‘insuffisance cardiaque aiguë, insuffisance respiratoire, infections sévères ou maladies rhumatismales) et dont la mobilité est réduite, à risque thromboembolique veineux augmenté.
- Le traitement de la thrombose veineuse profonde (TVP) et de l’embolie pulmonaire (EP), à l’exclusion de l’EP susceptible de relever d’un traitement thrombolytique ou chirurgical.
- La prévention de la formation d’un thrombus dans le circuit de circulation extracorporelle au cours de l’hémodialyse.
- Le syndrome coronaire aigu :
* Traitement de l’angor instable et de l’infarctus du myocarde sans élévation du segment ST (NSTEMI), administré en association avec l’acide acétylsalicylique par voie orale.
* traitement de l’infarctus du myocarde aigu avec élévation du segment ST (STEMI), incluant les patients éligibles à un traitement médical ou à une intervention coronaire percutanée (ICP) secondaire.",false,,,
1641,"ENOXA 8000 UI ANTI-Xa /0.8 ML, Solution injectable en seringue pré-remplie","Boite de 2 seringues de 1 ml
(Ne doit pas être administré par voie intramusculaire.)",8000 UI ANTI-Xa /0.8 ML,Enoxaparine sodique,HEMOLAB-PHARMA,Anticoagulant : héparine de bas poids moléculaire,Commercialisé,B01AB05,158.4,99.0,A,Médicament,"L’enoxaparine est indiquée chez l’adulte dans :
- Le traitement prophylactique de la maladie thromboembolique veineuse en chirurgie à risque modéré et élevé, en particulier en chirurgie orthopédique ou générale, dont la chirurgie oncologique.
- Le traitement prophylactique de la maladie thromboembolique veineuse chez les patients atteints d’une affection médicale aiguë (telle qu‘insuffisance cardiaque aiguë, insuffisance respiratoire, infections sévères ou maladies rhumatismales) et dont la mobilité est réduite, à risque thromboembolique veineux augmenté.
- Le traitement de la thrombose veineuse profonde (TVP) et de l’embolie pulmonaire (EP), à l’exclusion de l’EP susceptible de relever d’un traitement thrombolytique ou chirurgical.
- La prévention de la formation d’un thrombus dans le circuit de circulation extracorporelle au cours de l’hémodialyse.
- Le syndrome coronaire aigu :
* Traitement de l’angor instable et de l’infarctus du myocarde sans élévation du segment ST (NSTEMI), administré en association avec l’acide acétylsalicylique par voie orale.
* traitement de l’infarctus du myocarde aigu avec élévation du segment ST (STEMI), incluant les patients éligibles à un traitement médical ou à une intervention coronaire percutanée (ICP) secondaire.",false,,,
1642,"ENROUEX, Comprimé à sucer sans sucre",Boite de 10,,Eucalyptus | Propolis | Echinacea | Gingembre,NON RENSEIGNÉ,,Commercialisé,,,,,Complément alimentaire,,false,,,
1643,"ENROUEX, Sirop",Flacon de 125 ml,,Eucalyptus | propolis et extrait de plante,NON RENSEIGNÉ,,Commercialisé,,,,,Complément alimentaire,,false,,,
1644,"ENSPRYNG 120 MG / 1 ML, Solution injectable en seringue pré rempli de 1 ML",Boite unitaire,120 MG / 1 ML,Satralizumab,ROCHE S.A,"Immunosuppresseurs, inhibiteurs de l’interleukine,",Commercialisé,L04AC19,68740.0,67400.0,A,,"Enspryng est utilisé en monothérapie ou en association avec un traitement immunosuppresseur (TIS) dans le traitement des maladies du spectre de la neuromyélite optique (NMOSD) chez les adultes et les adolescents présentant des anticorps IgG anti-aquaporine-4 (c.-à-d. séropositifs pour les IgG anti-AQP4).
Source : Compendium.ch - Date : 20 octobre 2025",false,,,
1645,"ENTERAL 200 MG, Gélule",Boîte de 12,200 MG,Nifuroxazide,LAPROPHAN,Anti-infectieux intestinal,Commercialisé,A07AX03,14.8,9.2,A,,"Diarrhée aiguë présumée d'origine bactérienne en l'absence de suspicion de phénomènes invasifs (altération de l'état général, fièvre, signes toxi-infectieux...).

Le traitement ne dispense pas de mesures diététiques et d'une réhydratation si elle est nécessaire.

L'importance de la réhydratation par soluté de réhydratation orale ou par voie intraveineuse doit être adaptée en fonction de l'intensité de la diarrhée, de l'âge et des particularités du patient (maladies associées,etc...).",false,,,
1646,"ENTEROGERMINA 2 MILLIARDS / 5 ML, Suspension oral",Boîte de 10 Flacons de 5 ml,2 milliards / 5 ml,Spores de Bacillus Clausii,MAPHAR,,Commercialisé,,56.1,35.0,,Médicament,,false,,,
1647,"ENTEROGERMINA 4 milliards / 5 ml, Suspension oral",Boite de 10 flacons de 5 ML,"4 milliards / 5 ml,",Spores de Bacillus Clausii,MAPHAR,,Commercialisé,,93.4,58.4,,,,false,,,
1648,"EPCLUSA 400 MG / 100 MG, Comprimé pelliculé",Boite de 28,400 MG | 100 MG,Sofosbuvir | Velpatasvir,AFRIC-PHAR,"Antiviral, anti-VHC, double association",Commercialisé,J05AP55,6100.0,5868.0,A,Médicament,Epclusa est indiqué pour le traitement de l’infection chronique par le virus de l’hépatite C (VHC) chez les patients âgés de 6 ans et plus et pesant au moins 17 kg,false,,,
1649,"EPHEDRINE SOTHEMA 30 MG / ML, Solution injectable [P]",Boite de 10 ampoules,30 MG / ML,Ephedrine,SOTHEMA,ADRENERGIQUES ET DOPAMINERGIQUES,Commercialisé,C01CA26,110.3,68.9,A,Médicament,"· Traitement de l’hypotension au cours de l’anesthésie générale et de l’anesthésie loco-régionale qu’elle soit rachidienne ou péridurale et pratiquée pour un acte chirurgical ou obstétrical.

· Traitement préventif de l’hypotension au cours de l’anesthésie rachidienne pour un acte chirurgical ou obstétrical.",true,,,
1650,EPHEDRYL Solution buvable,Flacon de 100 ml,,Pseudoephedrine | Triprolidine | Paracetamol,GALENICA,,Commercialisé,R01BA52,16.7,10.4,,,,false,,,
1651,"EPHEDRYL, Comprimé",Boîte de 20,,Pseudoephedrine | Triprolidine | Paracetamol,GALENICA,Décongestionnants à usage systèmique,Commercialisé,R01BA52,16.1,10.1,,,"Traitement au cours des rhumes de l’adulte et de l’adolescent de plus de 15 ans :

· des sensations de nez bouché,
· de l’écoulement nasal clair,
· des maux de tête et/ou fièvre.",false,,,
1652,"EPHÉDRINE AGUETTANT 3 %, Soluté injectable [P]",Boîte de 10 ampoules de 1ml,3 %,Ephedrine,HEMOLAB-PHARMA,ADRENERGIQUES ET DOPAMINERGIQUES,Commercialisé,C01CA26,139.2,87.0,A,Médicament,"· Traitement de l’hypotension au cours de l’anesthésie générale et de l’anesthésie loco-régionale qu’elle soit rachidienne ou péridurale et pratiquée pour un acte chirurgical ou obstétrical.

· Traitement préventif de l’hypotension au cours de l’anesthésie rachidienne pour un acte chirurgical ou obstétrical.",true,,,
1653,"EPIDUO, Gel",Tube de 30 g,1 MG | 25 MG,Adapalene | Peroxyde de benzoyle,SOTHEMA,Préparations anti-acnéiques à usage topique,Commercialisé,D10AD53,137.0,85.6,A,,"Traitement cutané de l’acné vulgaire en présence de comédons, papules et pustules.

EPIDUO 0,1% / 2,5% est indiqué chez les adultes, adolescents et enfants âgés de 9 ans et plus.",false,,,
1654,"EPIGAB 150 MG, Gelule [P]",Boite de 30,150 MG,Prégabaline,POLYMEDIC,Antiépileptique,Commercialisé,N03AX16,183.4,114.6,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
1655,"EPIGAB 75 MG, Gélule [P]",Boite de 30,75 MG,Prégabaline,POLYMEDIC,Antiépileptique,Commercialisé,N03AX16,129.9,81.2,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
1656,"EPINAL, Gélule vegétale",Boite 30,240 MG | 2 MG,Magnésium | Complexe vitaminé | Extrait sec de pollen,BOTTU S.A.,,Commercialisé,,139.6,,,Complément alimentaire,,false,,,
1657,"EPIROL, Poudre pour solution pour injection ou perfusion",Flacon de 25 ml,50 MG | 25 MG (2 MG / ML),Épirubicine,PHARMAPROM,"Antinéoplasique, antibiotique cytotoxique (dérivé d'anthracycline)",Commercialisé,L01DB03,325.0,215.0,A,,"Traitement adjuvant du carcinome mammaire au stade précoce.
Traitement du carcinome mammaire au stade avancé.
Traitement du/des lymphomes malins, sarcome des parties molles, carcinome de l'estomac, carcinome bronchique, carcinome de l'ovaire.
Instillation intravésicale pour traiter et prévenir les récidives de papillomatoses carcinomateuses vésicales superficielles après résection transurétrale.",false,,,
1658,"EPIRUBICINE MYLAN 2 MG / ML, Solution à diluer pour perfusion",1 flacon,2 MG / ML,Epirubicine,SYNTHEMEDIC,ANTINEOPLASIQUE CYTOTOXIQUE,Commercialisé,L01DB03,325.0,216.0,A,Médicament,"Traitement adjuvant du carcinome mammaire au stade précoce.
Traitement du carcinome mammaire au stade avancé.
Traitement du/des lymphomes malins, sarcome des parties molles, carcinome de l'estomac, carcinome bronchique, carcinome de l'ovaire.
Instillation intravésicale pour traiter et prévenir les récidives de papillomatoses carcinomateuses vésicales superficielles après résection transurétrale.",false,,,
1659,"EPISELLE, Solution",Flacon de 200 ml,,"Solution nettoyante avec extrait d'Aloe Vera, Centella, Calendula, etc.",IBERMA,,Commercialisé,,,,,Médicament,Ces extraits ont été soigneusement sélectionnés pour leurs,false,,,
1660,"EPOTIN 2000 U.I, Solution pour usage parentéral",Boîte de 10 Flacons de 1 ml,2000 U.I,Erythropoïétine alpha,NOVOPHARMA,"Antianémique, époétine alfa",Commercialisé,B03XA03,1486.0,1221.0,A,Médicament,"le traitement de l'anémie symptomatique associée à l’insuffisance rénale chronique chez l’adulte et l’enfant.
- le traitement de l’anémie symptomatique des patients adultes atteints de tumeurs malignes non myéloïdes et traités par chimiothérapie.
- l’augmentation du volume des dons de sang autologue chez des malades participant à un programme de transfusions autologues différées.
L’utilisation dans cette indication doit tenir compte du risque accru d’accidents thromboemboliques. Le traitement ne doit être administré qu’à des malades présentant une anémie modérée (Hb 10 - 13 g/dl soit 6,21 - 8,07 mmol/l et sans carence martiale), s'il n’existe pas ou
peu de méthodes de récupération du sang lorsqu'une intervention chirurgicale programmée importante nécessite de grandes quantités de sang (4 unités de sang ou plus chez les femmes et 5
unités de sang ou plus chez les hommes).",false,,,
1661,"EPOTIN 4000 U.I, Solution pour usage parentéral",Boîte de 10 Flacons de 1 ml,4000 U.I,"Antianémique, époétine alfa",NOVOPHARMA,ANTIANÉMIQUES,Commercialisé,B03XA03,2751.0,2420.0,A,Médicament,"le traitement de l'anémie symptomatique associée à l’insuffisance rénale chronique chez l’adulte et l’enfant.
- le traitement de l’anémie symptomatique des patients adultes atteints de tumeurs malignes non myéloïdes et traités par chimiothérapie.
- l’augmentation du volume des dons de sang autologue chez des malades participant à un programme de transfusions autologues différées.
L’utilisation dans cette indication doit tenir compte du risque accru d’accidents thromboemboliques. Le traitement ne doit être administré qu’à des malades présentant une anémie modérée (Hb 10 - 13 g/dl soit 6,21 - 8,07 mmol/l et sans carence martiale), s'il n’existe pas ou
peu de méthodes de récupération du sang lorsqu'une intervention chirurgicale programmée importante nécessite de grandes quantités de sang (4 unités de sang ou plus chez les femmes et 5
unités de sang ou plus chez les hommes).",false,,,
1662,"EPREX 10 000 UI / ML, Solution injectable","6 Seringues préremplies de 0,4 ml",10 000 UI / ML,Erythropoïétine alpha,MAPHAR,"Antianémique, époétine alfa",Commercialisé,B03XA01,1710.0,1452.0,A,Médicament,"Anémie en cas d'insuffisance rénale chronique
Anémie symptomatique chronique nécessitant des transfusions, secondaire à une insuffisance rénale chronique de stade avancé (patients pré-dialysés et dialysés).

Patients cancéreux
Traitement de l'anémie symptomatique et réduction du besoin en transfusions chez les patients cancéreux adultes ayant un taux d'hémoglobine inférieur à 10,5 g/dl et pressentis pour une chimiothérapie pendant une durée minimum de 2 mois.

Dans les essais cliniques, en cas de chimiothérapie ne contenant pas de platine, le traitement par Eprex a généralement été introduit après 2 à 3 cycles de chimiothérapie.

Préparation opératoire pour éviter des transfusions de sang homologue
Stimulation de l'érythropoïèse avant une intervention orthopédique importante dans le but de réduire les transfusions de sang homologue et pour corriger l'anémie postopératoire chez des adultes sans carence en fer. Le traitement par Eprex doit être réservé aux patients avec anémie modérée (Hb 10–13 g/dl) et une perte sanguine prévue de 900 à 1800 ml.

Préparation opératoire avec programme de donation autologue
Stimulation de l'érythropoïèse dans le but d'augmenter les donations de sang autologue et de limiter la chute d'hémoglobine chez des patients pressentis pour des interventions chirurgicales majeures électives, qui ne sont pas en mesure de fournir les unités de sang autologue requises.

Le traitement par Eprex ne doit être instauré que chez les patients sans carence en fer et souffrant d'une anémie modérée (Hb 10–13 g/dl) lorsque des mesures augmentant les dons de sang autologue ne sont pas applicables ou insuffisantes et que l'intervention chirurgicale prévue nécessite un important volume sanguin (4 unités ou plus chez la femme; 5 unités ou plus chez l'homme).

Exemples d'utilisation: valeurs diminuées de l'hémoglobine, besoin de sang autologue ≥5 unités, bref délai de préparation opératoire.",false,,,
1663,"EPREX 10 000 UI / ML, Solution injectable","6 Seringues préremplies de 0,3 ml",10 000 UI / ML,Erythropoïétine alpha,MAPHAR,"Antianémique, époétine alfa",Commercialisé,B03XA01,1383.0,1115.0,A,Médicament,"Anémie en cas d'insuffisance rénale chronique
Anémie symptomatique chronique nécessitant des transfusions, secondaire à une insuffisance rénale chronique de stade avancé (patients pré-dialysés et dialysés).

Patients cancéreux
Traitement de l'anémie symptomatique et réduction du besoin en transfusions chez les patients cancéreux adultes ayant un taux d'hémoglobine inférieur à 10,5 g/dl et pressentis pour une chimiothérapie pendant une durée minimum de 2 mois.

Dans les essais cliniques, en cas de chimiothérapie ne contenant pas de platine, le traitement par Eprex a généralement été introduit après 2 à 3 cycles de chimiothérapie.

Préparation opératoire pour éviter des transfusions de sang homologue
Stimulation de l'érythropoïèse avant une intervention orthopédique importante dans le but de réduire les transfusions de sang homologue et pour corriger l'anémie postopératoire chez des adultes sans carence en fer. Le traitement par Eprex doit être réservé aux patients avec anémie modérée (Hb 10–13 g/dl) et une perte sanguine prévue de 900 à 1800 ml.

Préparation opératoire avec programme de donation autologue
Stimulation de l'érythropoïèse dans le but d'augmenter les donations de sang autologue et de limiter la chute d'hémoglobine chez des patients pressentis pour des interventions chirurgicales majeures électives, qui ne sont pas en mesure de fournir les unités de sang autologue requises.

Le traitement par Eprex ne doit être instauré que chez les patients sans carence en fer et souffrant d'une anémie modérée (Hb 10–13 g/dl) lorsque des mesures augmentant les dons de sang autologue ne sont pas applicables ou insuffisantes et que l'intervention chirurgicale prévue nécessite un important volume sanguin (4 unités ou plus chez la femme; 5 unités ou plus chez l'homme).

Exemples d'utilisation: valeurs diminuées de l'hémoglobine, besoin de sang autologue ≥5 unités, bref délai de préparation opératoire.",false,,,
1664,"EPREX 4000 UI / ML, Solution injectable","6 Seringues préremplies de 0,5 ml",4000 UI / ML,Erythropoïétine alpha,MAPHAR,"Antianémique, époétine alfa",Commercialisé,B03XA01,1011.0,732.0,A,Médicament,"Anémie en cas d'insuffisance rénale chronique
Anémie symptomatique chronique nécessitant des transfusions, secondaire à une insuffisance rénale chronique de stade avancé (patients pré-dialysés et dialysés).

Patients cancéreux
Traitement de l'anémie symptomatique et réduction du besoin en transfusions chez les patients cancéreux adultes ayant un taux d'hémoglobine inférieur à 10,5 g/dl et pressentis pour une chimiothérapie pendant une durée minimum de 2 mois.

Dans les essais cliniques, en cas de chimiothérapie ne contenant pas de platine, le traitement par Eprex a généralement été introduit après 2 à 3 cycles de chimiothérapie.

Préparation opératoire pour éviter des transfusions de sang homologue
Stimulation de l'érythropoïèse avant une intervention orthopédique importante dans le but de réduire les transfusions de sang homologue et pour corriger l'anémie postopératoire chez des adultes sans carence en fer. Le traitement par Eprex doit être réservé aux patients avec anémie modérée (Hb 10–13 g/dl) et une perte sanguine prévue de 900 à 1800 ml.

Préparation opératoire avec programme de donation autologue
Stimulation de l'érythropoïèse dans le but d'augmenter les donations de sang autologue et de limiter la chute d'hémoglobine chez des patients pressentis pour des interventions chirurgicales majeures électives, qui ne sont pas en mesure de fournir les unités de sang autologue requises.

Le traitement par Eprex ne doit être instauré que chez les patients sans carence en fer et souffrant d'une anémie modérée (Hb 10–13 g/dl) lorsque des mesures augmentant les dons de sang autologue ne sont pas applicables ou insuffisantes et que l'intervention chirurgicale prévue nécessite un important volume sanguin (4 unités ou plus chez la femme; 5 unités ou plus chez l'homme).

Exemples d'utilisation: valeurs diminuées de l'hémoglobine, besoin de sang autologue ≥5 unités, bref délai de préparation opératoire.",false,,,
1665,"EPYCA 150 MG, Gélule [P]",Boite de 14,150 MG,Pregabaline,PROMOPHARM (HIKMA),Antiepileptique,Commercialisé,N03AX16,97.3,60.8,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
